aug,weekday,fajr,sunrise,zuhr,asr1,asr2,maghrib,isha,,fajr,zuhr,asr,maghrib,isha
1,Fri,03:40,05:28,13:12,17:21,18:28,20:55,22:02,,04:00,13:30,18:45,20:55,22:15
2,Sat,03:42,05:30,13:12,17:20,18:27,20:53,22:00,,,,,20:53,
3,Sun,03:44,05:31,13:12,17:20,18:26,20:51,21:58,,,,,20:51,
4,Mon,03:46,05:33,13:12,17:19,18:25,20:50,21:56,,,,,20:50,
5,Tue,03:48,05:34,13:12,17:18,18:24,20:48,21:54,,,,,20:48,
6,Wed,03:50,05:36,13:12,17:17,18:23,20:46,21:52,,,,,20:46,
7,Thu,03:52,05:37,13:12,17:16,18:22,20:44,21:50,,,,,20:44,
8,Fri,03:53,05:39,13:12,17:16,18:21,20:42,21:48,,04:15,13:30,18:30,20:42,22:00
9,Sat,03:55,05:41,13:11,17:15,18:19,20:41,21:46,,,,,20:41,
10,Sun,03:57,05:42,13:11,17:14,18:18,20:39,21:45,,,,,20:39,
11,Mon,03:59,05:44,13:11,17:13,18:17,20:37,21:43,,,,,20:37,
12,Tue,04:01,05:45,13:11,17:12,18:16,20:35,21:41,,,,,20:35,
13,Wed,04:03,05:47,13:11,17:11,18:14,20:33,21:40,,,,,20:33,
14,Thu,04:05,05:49,13:11,17:10,18:13,20:31,21:38,,,,,20:31,
15,Fri,04:07,05:50,13:10,17:09,18:11,20:29,21:36,,04:30,13:30,18:30,20:29,21:45
16,Sat,04:08,05:52,13:10,17:08,18:10,20:27,21:34,,,,,20:27,
17,Sun,04:10,05:53,13:10,17:07,18:09,20:25,21:32,,,,,20:25,
18,Mon,04:12,05:55,13:10,17:06,18:07,20:23,21:31,,,,,20:23,
19,Tue,04:14,05:57,13:10,17:04,18:06,20:21,21:29,,,,,20:21,
20,Wed,04:16,05:58,13:09,17:03,18:04,20:19,21:27,,,,,20:19,
21,Thu,04:18,06:00,13:09,17:02,18:03,20:17,21:25,,,,,20:17,
22,Fri,04:20,06:01,13:09,17:01,18:01,20:14,21:23,,04:45,13:30,18:15,20:14,21:30
23,Sat,04:22,06:03,13:09,17:00,18:00,20:12,21:21,,,,,20:12,
24,Sun,04:23,06:05,13:08,16:58,17:58,20:10,21:19,,,,,20:10,
25,Mon,04:25,06:06,13:08,16:57,17:56,20:08,21:17,,,,,20:08,
26,Tue,04:27,06:08,13:08,16:56,17:55,20:06,21:15,,,,,20:06,
27,Wed,04:29,06:09,13:07,16:55,17:53,20:04,21:13,,,,,20:04,
28,Thu,04:31,06:11,13:07,16:53,17:51,20:01,21:12,,,,,20:01,
29,Fri,04:33,06:13,13:07,16:52,17:50,19:59,21:10,,05:00,13:30,18:00,19:59,21:15
30,Sat,04:35,06:14,13:07,16:51,17:48,19:57,21:08,,,,,19:57,
31,Sun,04:37,06:16,13:06,16:49,17:46,19:55,21:06,,,,,19:55,
