jul,weekday,fajr,sunrise,zuhr,asr1,asr2,maghrib,isha,,fajr,zuhr,asr,maghrib,isha
1,Tue,02:54,04:51,13:10,17:31,18:46,21:28,22:45,,,,,21:28,
2,Wed,02:55,04:52,13:10,17:31,18:46,21:27,22:44,,,,,21:27,
3,Thu,02:56,04:52,13:10,17:31,18:45,21:27,22:43,,,,,21:27,
4,Fri,02:57,04:53,13:11,17:31,18:45,21:26,22:42,,03:15,13:30,19:00,21:26,23:00
5,Sat,02:58,04:54,13:11,17:31,18:45,21:26,22:42,,,,,21:26,
6,Sun,02:59,04:55,13:11,17:31,18:45,21:25,22:41,,,,,21:25,
7,Mon,03:00,04:56,13:11,17:31,18:45,21:25,22:40,,,,,21:25,
8,Tue,03:02,04:57,13:11,17:31,18:44,21:24,22:39,,,,,21:24,
9,Wed,03:03,04:58,13:11,17:31,18:44,21:23,22:38,,,,,21:23,
10,Thu,03:04,04:59,13:11,17:31,18:44,21:23,22:37,,,,,21:23,
11,Fri,03:06,05:00,13:12,17:31,18:43,21:22,22:36,,03:15,13:30,19:00,21:22,22:45
12,Sat,03:07,05:01,13:12,17:30,18:43,21:21,22:34,,,,,21:21,
13,Sun,03:09,05:02,13:12,17:30,18:43,21:20,22:33,,,,,21:20,
14,Mon,03:10,05:03,13:12,17:30,18:42,21:19,22:32,,,,,21:19,
15,Tue,03:12,05:05,13:12,17:30,18:42,21:18,22:31,,,,,21:18,
16,Wed,03:13,05:06,13:12,17:29,18:41,21:17,22:29,,,,,21:17,
17,Thu,03:15,05:07,13:12,17:29,18:41,21:16,22:28,,,,,21:16,
18,Fri,03:16,05:08,13:12,17:29,18:40,21:15,22:26,,03:30,13:30,19:00,21:15,22:30
19,Sat,03:18,05:10,13:12,17:28,18:39,21:14,22:25,,,,,21:14,
20,Sun,03:19,05:11,13:12,17:28,18:39,21:12,22:23,,,,,21:12,
21,Mon,03:21,05:12,13:12,17:28,18:38,21:11,22:22,,,,,21:11,
22,Tue,03:23,05:14,13:13,17:27,18:37,21:10,22:20,,,,,21:10,
23,Wed,03:24,05:15,13:13,17:27,18:37,21:08,22:18,,,,,21:08,
24,Thu,03:26,05:16,13:13,17:26,18:36,21:07,22:17,,,,,21:07,
25,Fri,03:28,05:18,13:13,17:26,18:35,21:06,22:15,,03:45,13:30,18:45,21:06,22:30
26,Sat,03:30,05:19,13:13,17:25,18:34,21:04,22:13,,,,,21:04,
27,Sun,03:31,05:21,13:13,17:24,18:33,21:03,22:12,,,,,21:03,
28,Mon,03:33,05:22,13:13,17:24,18:32,21:01,22:10,,,,,21:01,
29,Tue,03:35,05:24,13:13,17:23,18:31,21:00,22:08,,,,,21:00,
30,Wed,03:37,05:25,13:12,17:23,18:30,20:58,22:06,,,,,20:58,
31,Thu,03:39,05:27,13:12,17:22,18:29,20:56,22:04,,,,,20:56,
