jun,weekday,fajr,sunrise,zuhr,asr1,asr2,maghrib,isha,,fajr,zuhr,asr,maghrib,isha
1,Sun,02:58,04:52,13:08,17:23,18:36,21:17,22:28,,,,,21:17,
2,Mon,02:57,04:51,13:08,17:24,18:37,21:18,22:30,,,,,21:18,
3,Tue,02:56,04:51,13:08,17:24,18:37,21:19,22:31,,,,,21:19,
4,Wed,02:55,04:50,13:08,17:25,18:38,21:20,22:32,,,,,21:20,
5,Thu,02:54,04:49,13:09,17:25,18:39,21:21,22:34,,,,,21:21,
6,Fri,02:53,04:49,13:09,17:25,18:39,21:22,22:35,,03:00,13:30,18:45,21:22,22:45
7,Sat,02:53,04:48,13:09,17:26,18:40,21:23,22:36,,,,,21:23,
8,Sun,02:52,04:48,13:09,17:26,18:40,21:24,22:37,,,,,21:24,
9,Mon,02:51,04:47,13:09,17:27,18:41,21:25,22:38,,,,,21:25,
10,Tue,02:50,04:47,13:10,17:27,18:41,21:25,22:39,,,,,21:25,
11,Wed,02:50,04:47,13:10,17:27,18:42,21:26,22:40,,,,,21:26,
12,Thu,02:49,04:46,13:10,17:28,18:42,21:27,22:41,,,,,21:27,
13,Fri,02:49,04:46,13:10,17:28,18:43,21:27,22:42,,03:00,13:30,19:00,21:27,22:52
14,Sat,02:48,04:46,13:10,17:28,18:43,21:28,22:43,,,,,21:28,
15,Sun,02:48,04:46,13:11,17:29,18:43,21:28,22:44,,,,,21:28,
16,Mon,02:47,04:46,13:11,17:29,18:44,21:29,22:45,,,,,21:29,
17,Tue,02:47,04:46,13:11,17:29,18:44,21:29,22:46,,,,,21:29,
18,Wed,02:47,04:46,13:11,17:30,18:44,21:30,22:46,,,,,21:30,
19,Thu,02:47,04:46,13:11,17:30,18:45,21:30,22:47,,,,,21:30,
20,Fri,02:46,04:46,13:12,17:30,18:45,21:30,22:47,,03:00,13:30,19:00,21:30,22:57
21,Sat,02:46,04:46,13:12,17:30,18:45,21:31,22:48,,,,,21:31,
22,Sun,02:46,04:47,13:12,17:30,18:45,21:31,22:48,,,,,21:31,
23,Mon,02:47,04:47,13:12,17:31,18:45,21:31,22:48,,,,,21:31,
24,Tue,02:48,04:47,13:13,17:31,18:46,21:31,22:48,,,,,21:31,
25,Wed,02:48,04:48,13:13,17:31,18:46,21:31,22:48,,,,,21:31,
26,Thu,02:49,04:48,13:13,17:31,18:46,21:31,22:47,,,,,21:31,
27,Fri,02:50,04:49,13:13,17:31,18:46,21:31,22:47,,03:00,13:30,19:00,21:31,22:57
28,Sat,02:51,04:49,13:13,17:31,18:46,21:31,22:46,,,,,21:31,
29,Sun,02:52,04:50,13:14,17:31,18:46,21:30,22:46,,,,,21:30,
30,Mon,02:53,04:50,13:14,17:31,18:46,21:30,22:45,,,,,21:30,
